g,s,label
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002505,milk specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002547,minor salivary gland specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002548,omentum specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002549,ovary specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002527,pancreas specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002527,pancreas specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002506,pericardial fluid specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002506,pericardial fluid specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002514,peritoneal fluid specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002514,peritoneal fluid specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002529,pituitary gland specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002529,pituitary gland specimen
http://purl.obolibrary.org/obo/merged/ICO,http://purl.obolibrary.org/obo/OBI_0002513,placenta specimen
http://purl.obolibrary.org/obo/merged/OBIB,http://purl.obolibrary.org/obo/OBI_0002513,placenta specimen
http://purl.obolibrary.org/obo/merged/EUPATH,http://purl.obolibrary.org/obo/OBI_0002515,pleural fluid specimen
