PK_LAB_RESULT_ITEM_ID,obo,molent,ion,specimen_obo,POC,total,indirect,direct,random,method,notes
159497,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4864217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11914026,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11926271,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1410003,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160675,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188004,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4870217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166203,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164913,CHEBI:17855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857006,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159414,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171801,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4867296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11911400,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11922556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176035,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4859006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11918601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4264015,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845429,CHEBI:17933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4856264,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
170474,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
11842043,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
171253,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
11918669,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
11807003,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
774006,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
166191,CHEBI:17996,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
4862893,CHEBI:26082,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
159183,CHEBI:18367,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHEBI:18367 = 'phosphate(3_)'
11844131,CHEBI:18367,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHEBI:18367 = 'phosphate(3_)'
171228,CHEBI:18367,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHEBI:18367 = 'phosphate(3_)'
4865295,CHEBI:21241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4868194,CHEBI:22470,NA,NA,NA,NA,NA,NA,NA,NA,NA,_-tocopherol
163788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862201,CHEBI:22985,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
163092,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841035,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159946,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11916663,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11912023,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
774008,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171227,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171524,CHEBI:22985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4862306,CHEBI:23377,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
159379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4855470,CHEBI:24103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1412018,CHEBI:24103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11842306,CHEBI:24103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4859645,CHEBI:24873,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
163110,CHEBI:24873,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
171374,CHEBI:24873,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844082,CHEBI:24873,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
8790037,CHEBI:24873,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
4857661,CHEBI:422,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lactic acid is chiral, consisting of two enantiomers. One is known as L-(+)-lactic acid or (S)-lactic acid and the other, its mirror image, is D-(_)-lactic acid or (R)-lactic acid. A mixture of the two in equal amounts is called DL-lactic acid, or racemic lactic acid. On the other hand, lactic acid produced by anaerobic respiration in animal muscles has the (S) configuration and is sometimes called ""sarcolactic"" acid, from the Greek ""sarx"" for flesh. In animals, L-lactate is constantly produced from pyruvate via the enzyme lactate dehydrogenase (LDH). CHEBI:422 = '(S)-lactic acid'"
163122,CHEBI:24996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4855661,CHEBI:24996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11845087,CHEBI:24996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8816008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5367004,CHEBI:24996,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
